,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2726,Josh Rosen,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2727,Jake Fromm,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2728,Larry Rountree III,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2729,Kwamie Lassiter II,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2730,Zach Gentry,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2731,Darrel Williams,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2732,Tavon Austin,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2733,Rashard Higgins,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2734,Irvin Charles,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2735,Daylen Baldwin,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2736,D.J. Montgomery,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2737,Kellen Mond,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2738,Cade Johnson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2739,Nakia Griffin-Stewart,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2740,Danny Amendola,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2741,Matt Sokol,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2742,Kalen Ballage,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2743,Abram Smith,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2744,Steven Sims,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2745,Jake Tonges,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
